All Leads,AdDaptive Banners,AdDaptive Native,White Space,Target List
UPS,True,True,False,True
Wells Fargo Bank National Association,True,True,False,True
Workday,True,True,True,True
Accenture,True,True,True,True
Abbott,True,True,True,True
allianz global assistance thailand,True,True,True,True
Xcel Energy Inc,True,True,True,True
AbbVie,True,True,False,True
Visa,True,True,False,True
Citizens Bank,True,True,False,True
ANZ,True,True,False,True
American Airlines,True,True,False,True
BD,True,True,False,True
Amgen,True,True,True,True
Atos,True,True,True,True
Bayer AG,True,True,True,True
Charles Schwab,True,True,False,True
Ally Financial Inc.,True,True,False,True
Amazon,True,True,False,True
Capital One Bank,True,True,False,True
Cisco Systems,True,True,False,True
At&T,True,True,False,True
"The Vanguard Group, Inc.",True,True,False,True
U.S. Bank,True,True,False,True
TSYS,True,True,False,True
"United Parcel Service, Inc.",True,True,False,False
T-Mobile,True,True,False,True
RBC Capital Markets,True,True,False,True
Schlumberger Limited,True,True,True,False
TD,True,True,False,True
Tennessee Department of Health,True,True,False,True
Fidelity Investments,True,True,True,True
Freddie Mac,True,True,False,True
GEICO Corp,True,True,True,True
Gilead Sciences,True,True,False,True
Lincoln Financial Group,True,True,True,False
HCA Inc,True,True,False,True
NOVARTIS,True,True,False,True
Intel Corporation,True,True,False,True
General Dynamics,True,True,True,True
Nasdaq,True,True,False,True
Progressive Casualty Insurance Company.,True,True,False,True
Prudential Financial,True,True,True,True
NCR Corporation,True,True,False,True
Medtronic Usa Inc,True,True,False,True
Cognizant,True,True,False,True
"Becton, Dickinson And Company",True,True,False,False
Burlington Nthrn Santa Fe Llc,True,True,False,False
Deloitte,True,True,False,True
Cerner Corporation,True,True,False,False
Danone,True,True,True,True
State Of Tennessee,True,True,False,True
ADP,True,True,False,True
Cibc,True,True,False,True
Manulife Financial Corporation,True,True,True,True
Bank Of New York Mellon Corp,True,True,False,False
Bny Mellon,True,True,False,True
Geisinger Health System,True,True,False,True
Federal Deposit Insurance Corporation,True,True,True,True
Dell Technologies,True,True,False,True
Memorial Sloan Kettering Cancer Center,True,True,False,True
Metlife,True,True,True,True
Corning,True,True,True,True
British Telecommunications Plc,True,True,False,False
"Tiaa, Fsb",True,True,False,True
Rcb Bank,False,False,False,False
Bnsf,True,True,True,True
NATIONWIDE,True,True,True,True
LPL FINANCIAL,True,True,True,True
Horizon Blue Cross Blue Shield of New Jersey,True,True,False,True
"Toronto-Dominion Bank, The",True,True,False,False
Ey,True,True,False,True
Duke Energy Corporation,True,True,True,True
Infosys,True,True,True,True
Tata Consultancy Services,True,True,False,False
Tjx Companies,True,True,False,True
DoorDash,False,False,False,False
RBC Capital Markets,True,True,False,True
State Farm Mutual Automobile Insurance Company,True,True,False,True
Tennessee Department of Health,True,True,False,True
Tennessee Department of Transportation,True,True,False,True
